kegg_annotation_id	name	definition	pathway	module
K00001	E1.1.1.1, adh	alcohol dehydrogenase [EC:1.1.1.1]	ko00010  Glycolysis / Gluconeogenesis	
K00002	AKR1A1, adh	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	ko00010  Glycolysis / Gluconeogenesis	M00014  Glucuronate pathway (uronate pathway)
K00003	E1.1.1.3	homoserine dehydrogenase [EC:1.1.1.3]	ko00260  Glycine, serine and threonine metabolism	M00017  Methionine biosynthesis, apartate => homoserine => methionine
K00004	BDH, butB	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	ko00650  Butanoate metabolism	
K00005	gldA	glycerol dehydrogenase [EC:1.1.1.6]	ko00561  Glycerolipid metabolism	
K00006	GPD1	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	ko00564  Glycerophospholipid metabolism	
K00007	dalD	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	ko00040  Pentose and glucuronate interconversions	
K00008	SORD, gutB	L-iditol 2-dehydrogenase [EC:1.1.1.14]	ko00040  Pentose and glucuronate interconversions	M00014  Glucuronate pathway (uronate pathway)
K00009	mtlD	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	ko00051  Fructose and mannose metabolism	
K00010	iolG	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	ko00521  Streptomycin biosynthesis	
K00011	AKR1B	aldehyde reductase [EC:1.1.1.21]	ko00040  Pentose and glucuronate interconversions	
K00012	UGDH, ugd	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	ko00040  Pentose and glucuronate interconversions	M00014  Glucuronate pathway (uronate pathway)
K00013	hisD	histidinol dehydrogenase [EC:1.1.1.23]	ko00340  Histidine metabolism	M00026  Histidine biosynthesis, PRPP => histidine
K00014	aroE	shikimate dehydrogenase [EC:1.1.1.25]	ko00400  Phenylalanine, tyrosine and tryptophan biosynthesis	M00022  Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate
K00015	gyaR, GOR1	glyoxylate reductase [EC:1.1.1.26]	ko00630  Glyoxylate and dicarboxylate metabolism	
K00016	LDH, ldh	L-lactate dehydrogenase [EC:1.1.1.27]	ko00010  Glycolysis / Gluconeogenesis	
K00018	hprA	glycerate dehydrogenase [EC:1.1.1.29]	ko00260  Glycine, serine and threonine metabolism	M00346  Formaldehyde assimilation, serine pathway
K00019	E1.1.1.30, bdh	3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	ko00072  Synthesis and degradation of ketone bodies	M00088  Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone
K00020	mmsB, HIBADH	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	ko00280  Valine, leucine and isoleucine degradation	
K00021	HMGCR	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	ko00900  Terpenoid backbone biosynthesis	M00095  C5 isoprenoid biosynthesis, mevalonate pathway
K00022	HADH	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	ko00062  Fatty acid elongation	M00032  Lysine degradation, lysine => saccharopine => acetoacetyl-CoA
K00023	phbB	acetoacetyl-CoA reductase [EC:1.1.1.36]	ko00630  Glyoxylate and dicarboxylate metabolism	M00373  Ethylmalonyl pathway
K00024	mdh	malate dehydrogenase [EC:1.1.1.37]	ko00020  Citrate cycle (TCA cycle)	M00009  Citrate cycle (TCA cycle, Krebs cycle)
K00025	MDH1	malate dehydrogenase [EC:1.1.1.37]	ko00020  Citrate cycle (TCA cycle)	M00009  Citrate cycle (TCA cycle, Krebs cycle)
K00026	MDH2	malate dehydrogenase [EC:1.1.1.37]	ko00020  Citrate cycle (TCA cycle)	M00009  Citrate cycle (TCA cycle, Krebs cycle)
K00027	ME2, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	ko00620  Pyruvate metabolism	
K00028	E1.1.1.39	malate dehydrogenase (decarboxylating) [EC:1.1.1.39]	ko00620  Pyruvate metabolism	M00171  C4-dicarboxylic acid cycle, NAD - malic enzyme type
K00029	E1.1.1.40, maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	ko00620  Pyruvate metabolism	M00169  CAM (Crassulacean acid metabolism), light
K00030	IDH3	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	ko00020  Citrate cycle (TCA cycle)	M00009  Citrate cycle (TCA cycle, Krebs cycle)
K00031	IDH1, IDH2, icd	isocitrate dehydrogenase [EC:1.1.1.42]	ko00020  Citrate cycle (TCA cycle)	M00009  Citrate cycle (TCA cycle, Krebs cycle)
K00032	E1.1.1.43	phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	ko00030  Pentose phosphate pathway	
K00033	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	ko00030  Pentose phosphate pathway	M00004  Pentose phosphate pathway (Pentose phosphate cycle)
K00034	gdh	glucose 1-dehydrogenase [EC:1.1.1.47]	ko00030  Pentose phosphate pathway	
